,RFxName,RFx_Received_Date__c,RFx_Type__c,Industry_x__c,Opportunity__c,AccountName,Division__c,USD_Price__c,StageName,Industry__c,Account_Country__c,Type,Name
0,T-Mobile Inc - Extended ECM,2020-08-07 00:00:00.0000000,RFI (Request for Information),Telecommunications,0063z000013ifMUAAY,T-Mobile Lift and Shift Cloud,Enterprise Content Services,13247186.36,4. Develop Solution,Telecommunications,US,Existing Customer - New Functionality,Cloud
1,T-Mobile - Enterprise Document Management Solution,2021-02-11 00:00:00.0000000,RFP (Request for Proposal),Telecommunications,0063z000013ifMUAAY,T-Mobile Lift and Shift Cloud,Enterprise Content Services,13247186.36,4. Develop Solution,Telecommunications,US,Existing Customer - New Functionality,Cloud
2,Deutsche Bundesbank - Managed Service -CS- RFP-2021 - 2027,2020-09-25 00:00:00.0000000,ITT (Invitation to Tender),Financial Services,0063z0000138pY6AAI,Deutsche Bundesbank - Managed Service -CS- RFP-2021 and 2022,Professional Services,10632483.83,G. Booked,Banking,DE,,Global Services
3,Quebec Ministry of Transport - Professional Services,2021-02-26 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000017dQsLAAU,CAN (EAST) - MTQ RFP - 3 Years Standing Offer,Professional Services,9841482.57,B. Gain Access,Government - Federal,CA,Existing Customer/New Solution,Global Services
4,Daimler Trucks North America LLC - IT Managed Services,2020-11-09 00:00:00.0000000,RFP (Request for Proposal),Distribution & Transportation,0063z000016B27NAAS,Daimler RFP RMaaS Managed Services Cloud Subscription,Enterprise Content Services,7801859.75,Lost,Automotive,US,Existing Customer - More Capacity,Cloud
5,Siemens AG - Ablöse Saperion Cloud,2020-11-02 00:00:00.0000000,RFI (Request for Information),,0063z0000136AHDAA2,Siemens AG - Core Archive,Enterprise Content Services,6385407.06,4. Develop Solution,Industrial Manufacturing,DE,Existing Customer - New Functionality,Cloud
6,Bund_Autobahn_Tender_DMS,2020-09-28 00:00:00.0000000,ITT (Invitation to Tender),Engineering & Construction,0063z0000169nG3AAI,Bund_Autobahn_Tender_DMS,Enterprise Content Services,5016778.01,Lost,Engineering & Construction,DE,Existing Customer - New Functionality,Sales
7,KAS - Ausschreibung VBS/DMS und Komponenten März 2021,2021-03-11 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000017dqqVAAQ,KAS - Ausschreibung VBS/DMS und Komponenten März 2021,Enterprise Content Services,4752889.84,1. Identify Prospect,"Religious, Grantmaking & Civic Organizations",DE,Existing Customer - More Capacity,Sales
8,Deutsche Bank SMS,2020-07-22 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000015XVZhAAO,DB - SMS RFP,CEM Sales,4676797.1,Lost,Banking,DE,New Customer,Cloud
9,Covestro AG - Employee File Management,2021-01-19 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000016ZHNJAA4,Covestro AG - Employee File Management,Enterprise Content Services,4577515.19,Lost,Chemicals,DE,Existing Customer - New Functionality,Cloud
10,Aware Super RFQ,2020-10-19 00:00:00.0000000,RFQ (Request for Quote),Financial Services,0063z0000169dQOAAY,Aware Super - Correspondence Management Platform  - Cloud - RFP,APAC Sales,4414692.92,1. Identify Prospect,Legal,AU,New Customer,Cloud
11,Glasgow City Council - Lift N Shift Hosted with OT MS / Cloud Subscription - RFP,2020-07-29 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000015YtSkAAK,CGI - Glasgow City Council - Lift n Shift BYOL- xECM for SAP Hosted with OT Managed Service,Enterprise Content Services,4160274.9,5. Propose Solution,Government - Local,GB,Existing Customer - New Functionality,Cloud
12,Texas Department of Motor Vehicles - Document Capture Services,2020-08-13 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000013ifRjAAI,ASO-WST-TX DMV FY 2021 Work,Professional Services,3637609.29,G. Booked,Government - State/Provincial,US,,Global Services
13,CCEP MS AIC,2020-09-24 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000014Y0BLAA0,CCEP - B2B MS & AIC,Business Network,3130675.79,Lost,Food & Beverage Manufacturing,BE,Existing Customer - New Functionality,Cloud
14,Aware Super DM RFQ,2020-10-16 00:00:00.0000000,RFQ (Request for Quote),Financial Services,0063z000016BC6zAAG,Aware Super - Document Management RFQ - Cloud,APAC Sales,2986093.92,Lost,Legal,AU,New Customer,Cloud
15,Teilnahmeantrag - Deutsche Bundesbank - OTMM,2021-02-11 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000016YeBrAAK,BuBa - OTMM,CEM Sales,2787773.16,5. Propose Solution,Banking,DE,New Customer,Cloud
16,MoD - RM RFP,2020-12-17 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000014y8n1AAA,MoD - RM RFP,Enterprise Content Services,2595899.52,4. Develop Solution,Government - Federal,GB,Existing Customer - New Functionality,Sales
17,Aware Super Comm Sys RFP,2020-10-16 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000016BC6pAAG,Aware Super - Communication Management - RFQ - Cloud,APAC Sales,2571078.36,2. Gain Access,Legal,AU,New Customer,Cloud
18,Ultimate Kronos - IAM,2020-11-18 00:00:00.0000000,RFP (Request for Proposal),,0063z000016XUMgAAO,UKG - IAM for B2B2E,Business Network,2500000.0,4. Develop Solution,High Tech,US,Existing Customer - New Functionality,Cloud
19,EDI Technology RFI,2021-01-15 00:00:00.0000000,RFI (Request for Information),Consumer Packaged Goods,0063z000014VymEAAS,Kimberly-Clark Corporation - Managed Services,Business Network,2200000.0,5. Propose Solution,Consumer Goods,US,Existing Customer - New Functionality,Cloud
20,Securitas Europe- European ECM platform - RFP,2020-08-14 00:00:00.0000000,RFP (Request for Proposal),Professional Services,0063z000015aDS7AAM,Securitas Europe- European ECM platform - Cloud subscription,Enterprise Content Services,2167054.89,5. Propose Solution,Professional Services,SE,New Customer,Cloud
21,Securitas Europe- European ECM platform - Deep Dive,2020-09-24 00:00:00.0000000,RFP (Request for Proposal),Professional Services,0063z000015aDS7AAM,Securitas Europe- European ECM platform - Cloud subscription,Enterprise Content Services,2167054.89,5. Propose Solution,Professional Services,SE,New Customer,Cloud
22,Securitas Europe- European ECM platform - Deep Dive - Non-Functional Questions,2020-09-28 00:00:00.0000000,RFP (Request for Proposal),Professional Services,0063z000015aDS7AAM,Securitas Europe- European ECM platform - Cloud subscription,Enterprise Content Services,2167054.89,5. Propose Solution,Professional Services,SE,New Customer,Cloud
23,"Manutan - MS, AO, AIC, AC",2020-07-08 00:00:00.0000000,RFP (Request for Proposal),Retail,006D00000105yw1IAA,MANUTAN - MS,Business Network,2094811.96,Won and Closed,Retail,FR,Existing Customer - New Functionality,Won and Closed
24,"National Railroad Passenger Corporation (AMTRAK) - Recording, Analytics, and Voi",2021-01-15 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016YZJEAA4,Amtrak/CS/Modernization,US Public Sector Sales,2031986.33,3. Establish Needs,Government - Federal,US,Existing Customer - More Capacity,Sales
25,Regie de L'Assurance Maladie du Quebec - Integrated Document Manage,2020-12-17 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000016YtecAAC,RAMQ - xECM cloud,Enterprise Content Services,1923280.34,4. Develop Solution,Government - State/Provincial,CA,New Customer,Cloud
26,Saudi Aramco Search Implementation,2020-07-09 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000013ksrLAAQ,Saudi Aramco - Search+ Implementation,Professional Services,1900000.0,Lost,Oil & Gas,SA,,Global Services
27,RFI Boehringer Ingelheim / Engineering Document & Data Management System (EDDMS),2020-09-16 00:00:00.0000000,RFI (Request for Information),Healthcare,0063z0000169PmZAAU,Boehringer Ingelheim - RFI for Engineering,Enterprise Content Services,1856205.74,Lost,Healthcare,DE,Existing Customer - New Functionality,Sales
28,New ASK RFP,2021-02-12 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z000017dKzCAAU,Renault - New Ask On prem,Enterprise Content Services,1811731.25,1. Identify Prospect,Automotive,FR,Existing Customer - More Capacity,Sales
29,"Air Products, Inc. - Electronic Document Management System",2020-08-04 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000012PsOBAA0,Air Products - Plant Operations,Enterprise Content Services,1800000.0,Order Ready for Finance Review,Chemicals,US,Existing Customer - More Capacity,Sent to Billing Operations
30,Daimler-Cars_ digital_enhanced reg. database,2020-08-06 00:00:00.0000000,RFI (Request for Information),Automotive,0063z000015ZJI7AAO,Daimler-Cars-digital regulatory database- ECS part,Enterprise Content Services,1761625.74,Lost,Automotive,DE,Existing Customer - New Functionality,Sales
31,MSD NZ - Exstream - RFP,2020-08-12 00:00:00.0000000,RFP (Request for Proposal),,0063z000013kxB6AAI,MSD NZ - Exstream (Cloud),APAC Sales,1757961.57,4. Develop Solution,Government - Federal,NZ,Existing Customer - More Capacity,Cloud
32,MSD NZ - Exstream (Cloud) - RFP phase #2,2020-12-23 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000013kxB6AAI,MSD NZ - Exstream (Cloud),APAC Sales,1757961.57,4. Develop Solution,Government - Federal,NZ,Existing Customer - More Capacity,Cloud
33,MSD NZ - Exstream (Cloud) - RFP,2020-08-13 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000013kxB6AAI,MSD NZ - Exstream (Cloud),APAC Sales,1757961.57,4. Develop Solution,Government - Federal,NZ,Existing Customer - More Capacity,Cloud
34,ERIE Insurance - Enterprise Content Management,2020-09-01 00:00:00.0000000,RFP (Request for Proposal),Insurance,0063z000012QUjTAAW,Erie - RFP Unlimited,Enterprise Content Services,1749999.98,Lost,Insurance,US,Existing Customer - New Functionality,Sales
35,B. Braun Melsungen AG - xECM for SuccessFactors,2020-11-16 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000014xLUDAA2,B. Braun Melsungen AG - xECM for SuccessFactors,Enterprise Content Services,1728478.4,4. Develop Solution,Healthcare,DE,Existing Customer - New Functionality,Cloud
36,Bayer AG - QVadis R&D Quality Management,2020-12-18 00:00:00.0000000,RFI (Request for Information),Healthcare,0063z000016YvBoAAK,Bayer AG - QVadis R&D Quality Management,Enterprise Content Services,1701209.55,2. Gain Access,Healthcare,DE,Existing Customer - New Functionality,Sales
37,Department of Veterans Affairs - eDiscovery,2020-12-02 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z0000138ocvAAA,Dept. of Veterans Affairs - ED & AXC,Security Sales,1614900.0,3. Establish Needs,Government - Federal,US,Existing Customer - New Functionality,Sales
38,CCM RFP,2020-09-21 00:00:00.0000000,RFP (Request for Proposal),Insurance,006D0000010F05LIAS,Groupama CCM RFP,CEM Sales,1583804.01,Lost,Insurance,FR,Existing Customer - New Functionality,Sales
39,Elections Ontario - IAM,2021-02-03 00:00:00.0000000,RFP (Request for Proposal),,0063z000016b8UIAAY,IAM RFP - Elections Ontario,Business Network,1572467.15,4. Develop Solution,Government - Federal,CA,New Customer,Cloud
40,EPO - DMS project (onPrem),2020-09-03 00:00:00.0000000,RFP (Request for Proposal),,0063z000013ke8FAAQ,EPO - DMS project (onPrem),Enterprise Content Services,1476733.87,Dropped,Government - Federal,DE,Existing Customer - New Functionality,Sales
41,Pacific Gas and Electric Company - Customer Notifications Solution,2020-11-23 00:00:00.0000000,RFI (Request for Information),Energy,0063z000016XlWBAA0,PG&E: exstream + notifications,CEM Sales,1469486.25,2. Gain Access,Utilities,US,Existing Customer - New Functionality,Sales
42,DAMAN Digital Exp Platform RFP,2020-07-20 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000015Y79fAAC,DAMAN_WCM_CLOUD,Enterprise Content Services,1468916.46,Dropped,Insurance,AE,Existing Customer - New Functionality,Cloud
43,Western Canada Lottery Corporation - Managed Detection and Response Service,2020-12-02 00:00:00.0000000,RFP (Request for Proposal),Media & Entertainment,0063z000016YDlVAAW,RFP - Western Canada Lottery Corporation,Professional Services,1421985.38,B. Gain Access,Media & Entertainment,CA,,Global Services
44,BKA_Multimediaplattform auf EXTRAPOL,2020-10-23 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016BL0QAAW,Polizei_BKA_Multimediaplattform auf EXTRAPOL,CEM Sales,1406924.31,Lost,Government - Federal,DE,Existing Customer - New Functionality,Sales
45,Alko MS AO,2020-10-14 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000016AH1qAAG,ALKO EDI Service,Business Network,1394036.77,Lost,Retail,FI,New Customer,Cloud
46,Total Win and More - IAM,2020-07-21 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000015WdCNAA0,TWM RFP Supplier Portal,Business Network,1350000.0,Dropped,Retail,US,New Customer,Cloud
47,"National Bank of Canada - MS, STP FH",2021-02-05 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000014XNewAAG,National Bank - Cash Management,Business Network,1347000.0,5. Propose Solution,Banking,CA,New Customer,Cloud
48,Scottish Government - Mental Welfare Commission Information & Case Management,2021-03-09 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000017dvf1AAA,SG - Mental Welfare Appworks/Content Server,Enterprise Content Services,1346555.49,2. Gain Access,Government - Federal,GB,Existing Customer - New Functionality,Cloud
49,NRK-DAM - RFI,2020-11-17 00:00:00.0000000,RFI (Request for Information),Media & Entertainment,0063z000016XVW2AAO,NRK-DAM-Cloud,CEM Sales,1307104.69,3. Establish Needs,Media & Entertainment,NO,New Customer,Cloud
50,RFP CCEP - Contract Storage (CS),2021-01-28 00:00:00.0000000,RFP (Request for Proposal),Consumer Packaged Goods,0063z000016bI1PAAU,Benelux Coca Cola CCEP20210001 xECM RFP,Professional Services,1271150.27,B. Gain Access,Food & Beverage Manufacturing,BE,Existing Customer/Expand Existing Solution,Global Services
51,Wolf Creek Nuclear Operating - Electronic Document Management System (EDMS,2020-11-10 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000013hedzAAA,Evergy - CEM/RM Expansion,CEM Sales,1270671.03,5. Propose Solution,Utilities,US,New Customer,Sales
52,PS RFP - DRV Bund - Unterstützung bei der Modernisierung der Scanverfahren,2021-01-11 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016a8crAAA,DRV Bund - Unterstützung bei der Modernisierung der Scanverfahren,Professional Services,1252268.64,G. Booked,Insurance,DE,Existing Customer/Expand Existing Solution,Global Services
53,SSE - CCM - OTMM RFP,2020-10-07 00:00:00.0000000,RFP (Request for Proposal),Utilities,0063z000015YCrwAAG,SSE - CCM,CEM Sales,1241374.69,Lost,Utilities,GB,New Customer,Cloud
54,MOD - IOT - G-Cloud - NDA prior to ITT via G-Cloud,2021-01-27 00:00:00.0000000,RFI (Request for Information),,0063z000014yHswAAE,"MOD IoT, phase 2 Air",Business Network,1200000.0,6. Secure Agreement,Government - Federal,GB,New Customer,Cloud
55,Nouvelle Solution Editique RFI,2021-02-04 00:00:00.0000000,RFI (Request for Information),Financial Services,0063z000016XXmDAAW,BNPP - AEK - Exstream for BDDF,CEM Sales,1186387.37,4. Develop Solution,Banking,FR,New Customer,Sales
56,Qatar Petroleum SAP Archiving,2020-10-21 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000015aKEsAAM,Qatar Petroleum - Data Archiving and App. Decom,Enterprise Content Services,1186200.0,3. Establish Needs,Oil & Gas,QA,New Customer,Cloud
57,Loreal - AIC MS,2020-11-24 00:00:00.0000000,RFP (Request for Proposal),,0063z0000169Wr1AAE,L'Oréal France - AIC/Custom Portal w/c Numen for Paper,Business Network,1125278.81,Lost,Consumer Goods,FR,Existing Customer - New Functionality,Cloud
58,Nilfisk - MS AIC,2021-01-29 00:00:00.0000000,RFP (Request for Proposal),,0063z000016YwkZAAS,Nilfisk - RFP - EDI as a Service,Business Network,1100000.0,Lost,Industrial Manufacturing,DK,New Customer,Cloud
59,BASF RFI Information Exchange Platform Dr Ding,2021-02-09 00:00:00.0000000,RFI (Request for Information),,0063z000016ZEBgAAO,BASF SAP Royalty RFI IEP VDI 2770 Dr Ding / Kun,Enterprise Content Services,1098051.31,4. Develop Solution,High Tech,DE,SAP driven by SAP,Sales
60,BT - EE Decom - InfoArchive - RFP,2020-07-09 00:00:00.0000000,RFP (Request for Proposal),Telecommunications,006D000000pJPBRIA4,BT - EE Decom - InfoArchive,Enterprise Content Services,1094175.95,Lost,Telecommunications,GB,Existing Customer - New Functionality,Cloud
61,Cereli,2021-01-14 00:00:00.0000000,RFP (Request for Proposal),,0063z000016ZxPTAA0,Cerelia - B2B Managed Services,Business Network,1087038.75,Lost,Food & Beverage Manufacturing,FR,New Customer,Cloud
62,Urgences-santé Québec - Electronic Document Management System,2020-12-11 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016YfQxAAK,Urgences Sante Quebec-Document Management,Enterprise Content Services,1074714.45,Dropped,Healthcare,CA,New Customer,Sales
63,Northland Power Inc.- Document Management System,2020-12-09 00:00:00.0000000,RFI (Request for Information),Energy,0063z000016YMNmAAO,Northland power- ECM strategy,Enterprise Content Services,1070105.91,Lost,Utilities,CA,New Customer,Sales
64,Waddell & Reed Financial Inc. - Enterprise-Wide Electronic Document and Records,2020-10-09 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000013iZxgAAE,"Waddell & Reed, Inc - Records Management",Enterprise Content Services,1061136.98,4. Develop Solution,Banking,US,New Customer,Sales
65,Wells Fargo & Company - Unstructured Data Tool,2020-12-08 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000016ZnmXAAS,"Wells Fargo, 1/11/21 Unstructured Data RFP - Cloned",Enterprise Content Services,1017450.0,4. Develop Solution,Banking,US,Existing Customer - New Functionality,Sales
